172.31.0.3 - - [01/Sep/2020:07:57:24 +0000] "GET / HTTP/1.1" 200 2438 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.31.0.1"
172.20.0.1 - - [06/Jan/2021:06:22:39 +0000] "GET / HTTP/1.1" 404 32041 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.20.0.1 - - [06/Jan/2021:06:22:39 +0000] "GET /favicon.ico HTTP/1.1" 404 166296 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.21.0.1 - - [06/Jan/2021:06:25:10 +0000] "GET / HTTP/1.1" 404 32041 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.21.0.1 - - [06/Jan/2021:06:25:10 +0000] "GET /favicon.ico HTTP/1.1" 404 166324 "http://store.test/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.21.0.1 - - [06/Jan/2021:06:32:40 +0000] "GET / HTTP/1.1" 500 244581 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.21.0.1 - - [06/Jan/2021:06:34:49 +0000] "GET / HTTP/1.1" 500 244573 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.21.0.1 - - [06/Jan/2021:06:39:42 +0000] "GET / HTTP/1.1" 500 244573 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.21.0.1 - - [06/Jan/2021:06:43:42 +0000] "GET / HTTP/1.1" 500 244581 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.21.0.1 - - [06/Jan/2021:06:47:28 +0000] "GET / HTTP/1.1" 500 244581 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.22.0.1 - - [06/Jan/2021:07:05:23 +0000] "GET / HTTP/1.1" 404 83084 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.22.0.1 - - [06/Jan/2021:07:05:23 +0000] "GET /_wdt/feeb41 HTTP/1.1" 200 15366 "http://store.test/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.22.0.1 - - [06/Jan/2021:07:14:19 +0000] "GET /_profiler/feeb41?panel=request HTTP/1.1" 200 134969 "http://store.test/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
